DateTime,OPEN,CLOSE,VOLUME,AMT
2010/1/4,3592.468,3535.229,6610108000,93419838921
2010/1/5,3545.186,3564.038,8580964100,1.28302E+11
2010/1/6,3558.7,3541.727,7847312500,1.21046E+11
2010/1/7,3543.16,3471.456,8035003700,1.20436E+11
2010/1/8,3456.908,3480.13,6079025300,90190959969
2010/1/11,3593.106,3482.052,8998017200,1.34114E+11
2010/1/12,3477.842,3534.916,9374327800,1.34071E+11
2010/1/13,3448.291,3421.144,11245790100,1.5986E+11
2010/1/14,3433.472,3469.051,8335325200,1.18108E+11
2010/1/15,3472.524,3482.738,7254310200,1.04035E+11
2010/1/18,3471.777,3500.684,8285430700,1.17884E+11
2010/1/19,3506.806,3507.482,7488323200,1.08024E+11
2010/1/20,3512.246,3394.434,9249514600,1.28416E+11
2010/1/21,3397.043,3408.574,7059506800,1.00077E+11
2010/1/22,3364.452,3366.197,8893340400,1.19198E+11
2010/1/25,3340.013,3328.014,5684917100,76626626843
2010/1/26,3328.113,3242.797,6175223100,81586059213
2010/1/27,3243.038,3198.566,5269139400,70540273182
2010/1/28,3195.289,3206.57,4699071600,64082115658
2010/1/29,3190.315,3204.155,5026261300,68018118702
2010/2/1,3198.23,3152.707,5700138000,75982150475
2010/2/2,3170.778,3146.189,5013003300,68318412373
2010/2/3,3160.712,3230.715,6479889400,87536249983
2010/2/4,3206.431,3218.802,5897272600,75466552963
2010/2/5,3147.721,3153.087,5910584500,73693132366
2010/2/8,3152.253,3150.988,3735595100,47902429250
2010/2/9,3147.761,3169.19,3595315800,45222660374
2010/2/10,3195.142,3214.13,3421989400,48152144637
2010/2/11,3216.688,3220.398,3579105200,46999712971
2010/2/12,3232.879,3251.278,3405823800,46703220577
2010/2/22,3248.947,3233.345,3828377200,49981333658
2010/2/23,3225.393,3198.634,4274289800,62386076936
2010/2/24,3177.082,3244.483,4998943700,64414097361
2010/2/25,3252.153,3292.128,6758661700,89485801632
2010/2/26,3286.095,3281.666,5210728800,70171666128
2010/3/1,3290.007,3324.423,6050452000,81205689009
2010/3/2,3327.103,3311.236,5703437400,76233992315
2010/3/3,3313.023,3335.081,6062273200,78442132954
2010/3/4,3338.674,3250.573,6934681000,89462913752
2010/3/5,3253.164,3259.764,4562913800,59621178434
2010/3/8,3268.397,3286.178,4154087600,54686555117
